From X, From Y, From Z, To X, To Y, To Z, From Abbreviation, To Abbreviation, Translation Start, Translation Finish, Guess From X, Guess From Y, Guess From Z, Guess To X, Guess To Y, Guess To Z, Guess Start, Guess Finish, Angle From, Angle To, Guess Angle From, Guess Angle To, Divergence Angle From, Divergence Angle To
0,1,-28.28427,28.28427,1,0,B,R,22.90088,24.24313,-27.62202,2.702247,-9.235166,21.57321,2.023364,-19.5582,26.75684,29.86245,180,90,-108.4869,132.1953,71.51312,42.19536
20,1,20,0,1,-28.28427,RF,B,33.66943,35.42556,20.39219,1.433254,-20.75924,-20.56849,0.5908632,-20.59213,38.67443,41.37699,45,180,135.511,-135.0329,90.51103,44.96709
20,1,-20,-28.28427,1,0,RB,L,44.86042,46.60131,0.3928885,0.669457,-29.16527,-28.96009,1.096403,2.345636,48.70181,50.51116,135,-90,179.228,-85.36941,44.22821,4.630581
-20,1,-20,0,1,28.28427,LB,F,54.3329,56.08433,-28.81313,2.24578,3.838238,18.13942,2.588862,-22.71425,58.75648,61.126,-135,0,-82.41222,141.3894,52.58778,141.3894
20,1,20,-28.28427,1,0,RF,L,64.28419,66.03783,29.02041,1.108267,1.337043,-3.340328,2.261303,-28.95858,69.66843,72.30482,45,-90,87.36211,-173.4201,42.36211,-83.4201
0,1,-28.28427,0,1,28.28427,B,F,84.1767,86.06337,0.1809267,0.8923608,-29.1691,0.4611531,1.228946,29.16404,88.57738,90.85754,180,0,179.6445,0.9059024,-0.3555328,0.9059024
-28.28427,1,0,28.28427,1,0,L,R,96.21789,98.11668,-28.97145,0.4823132,-2.199158,29.04796,0.6971136,0.3174815,99.67188,101.8945,-90,90,-94.34087,89.3738,-4.340907,-0.6262009
-20,1,20,0,1,-28.28427,LF,B,106.2802,108.0332,-28.84434,1.074425,3.557949,3.544569,1.549749,-28.93332,110.9616,113.0481,-45,180,-82.96809,173.0156,-37.96809,-6.984407
-20,1,20,20,1,-20,LF,RB,118.1209,120.0108,-25.41977,1.401366,-14.3048,27.46516,1.518236,9.705297,123.2265,126.3986,-45,135,-119.3683,70.53825,-74.36833,-64.46175
-28.28427,1,0,0,1,28.28427,L,F,132.5415,133.88,-23.41419,2.077171,-17.36483,16.82753,1.491271,-23.69066,136.9627,138.2614,-90,0,-126.562,144.6137,-36.56199,144.6137
-20,1,-20,20,1,-20,LB,RB,145.5098,146.8493,-21.49559,1.291439,-19.642,22.348,1.720003,-18.69015,149.7438,152.3778,-135,135,-132.4201,129.9065,2.579899,-5.093469
28.28427,1,0,0,1,-28.28427,R,B,155.997,157.3394,22.04818,1.164208,-19.03609,-11.91412,1.326653,-26.50634,160.8669,163.6723,90,180,130.8069,-155.797,40.80688,24.20305
-20,1,-20,20,1,20,LB,RF,168.0134,169.902,-26.14064,1.365809,-12.93487,28.61621,1.280404,5.148999,172.7755,175.1766,-135,45,-116.3271,79.79975,18.67295,34.79975
0,1,28.28427,-20,1,-20,F,LB,178.9936,180.7367,3.470518,0.5497909,-28.94248,-26.41645,1.429659,12.34346,183.7309,185.0267,0,-135,173.1622,-64.95499,173.1622,70.04501
0,1,-28.28427,20,1,20,B,RF,190.2978,192.0421,1.674911,1.478494,-29.11625,25.53079,1.491411,14.10424,194.8568,196.2436,180,45,176.7077,61.08197,-3.292356,16.08195
20,1,-20,-20,1,20,RB,LF,200.6847,202.5749,28.60595,2.10778,-5.208334,-28.7353,1.830248,-4.391171,204.7298,206.9295,135,-45,100.3189,-98.68842,-34.6811,-53.68842
-20,1,-20,-20,1,20,LB,LF,211.3781,212.7048,-16.22363,2.094209,24.10472,-20.94667,1.172333,-20.2121,216.2114,217.6174,-135,-45,-33.94244,-133.9775,101.0576,-88.97754
0,1,28.28427,20,1,-20,F,RB,221.885,223.6401,22.73818,2.394612,18.2242,11.86175,2.190393,-26.52942,226.7779,228.3096,0,135,51.28852,155.9098,51.28852,20.90977
20,1,20,-20,1,-20,RF,LB,233.4336,235.324,28.724,1.6051,4.471468,-28.93324,1.494922,2.691783,238.3404,240.3268,45,-135,81.15177,-84.68483,36.15178,50.31517
-20,1,20,20,1,20,LF,RF,244.9069,246.2398,-21.65301,0.4542501,-19.47206,21.6731,1.487328,-19.45037,250.1227,252.3107,-45,45,-131.9643,131.9062,-86.96432,86.90615
-28.28427,1,0,0,1,-28.28427,L,B,257.6832,259.0269,-26.48508,0.7764713,-12.1958,13.07902,1.020579,-25.94225,261.7269,263.2806,-90,180,-114.725,153.2446,-24.72504,-26.75538
-20,1,20,28.28427,1,0,LF,R,270.0042,271.7467,-25.99096,1.43743,-13.22951,28.6932,1.030698,-4.690221,274.4875,276.3819,-45,90,-116.9763,99.28353,-71.97628,9.283513
0,1,28.28427,0,1,-28.28427,F,B,286.3327,288.2239,-0.921285,1.152495,-29.15574,-0.07512516,0.9607173,29.17101,292.1865,293.6848,0,180,-178.1902,-0.1480375,-178.1902,179.852
0,1,28.28427,-28.28427,1,0,F,L,297.9938,299.3354,-5.707765,1.5899,-28.5629,-23.02608,0.5536853,17.86858,301.4015,302.911,0,-90,-168.6994,-52.18801,-168.6994,37.81199
28.28427,1,0,-28.28427,1,0,R,L,307.4568,309.3447,28.42223,1.289116,6.180057,-27.78328,1.750999,-8.713898,311.3109,313.5435,90,-90,77.7327,-107.4134,-12.2673,-17.41342
20,1,-20,-20,1,-20,RB,LB,318.6027,319.9458,21.22792,2.073631,-19.92771,-21.49352,1.389749,-19.64423,322.09,324.5115,135,-135,133.1905,-132.4261,-1.809484,2.573898
20,1,-20,0,1,28.28427,RB,F,329.2709,331.0135,24.03933,1.574836,16.50426,-14.48622,2.002171,-25.18292,333.9502,336.1285,135,0,55.52836,-150.0908,-79.47163,-150.0908
20,1,20,20,1,-20,RF,RB,340.5837,341.9281,22.00377,1.441234,19.08733,7.005857,1.880774,-28.25296,345.1312,346.513,45,135,49.05975,166.0733,4.05975,31.07334
28.28427,1,0,0,1,28.28427,R,F,351.8897,353.2283,28.22583,1.695114,7.064699,-11.93559,1.474705,-26.49688,356.8821,358.1312,90,0,75.94801,-155.7507,-14.05198,-155.7507
-28.28427,1,0,20,1,-20,L,RB,363.1356,364.8789,-28.92631,1.342752,-2.7811,28.92286,1.550279,-2.825579,367.3376,369.238,-90,135,-95.49178,95.57973,-5.491764,-39.42028
28.28427,1,0,-20,1,20,R,LF,374.7167,376.4744,28.37906,0.85365,-6.389762,-28.55087,1.143726,-5.526709,379.6837,381.7264,90,-45,102.689,-100.9555,12.68898,-55.95549
20,1,-20,20,1,20,RB,RF,385.9441,387.2837,18.1918,0.6952285,-22.67331,16.87315,0.8177009,23.65938,391.1105,392.6945,135,45,141.2584,35.49531,6.258367,-9.504687
