Translation id,Reaction time,Group
201809141429023350,8.785538,1
201809141430303052,0,1
201809141431203241,10.3826,1
201809141432414310,8.152039,1
201809141433516256,5.937988,1
201809141434408394,0,1
201809141435519841,6.283508,1
201809141436307651,6.861633,1
201809141439369338,7.19519,3
201809141440282911,7.336426,3
201809141441404922,11.57239,3
201809141443240140,9.522339,3
201809141444102440,8.072632,3
201809141445294328,5.132324,3
201809141446249932,5.532593,3
201809141447016237,0,3
201809141450017908,6.33374,2 -- [sound didn't play]
201809141451396501,0,2
201809141452332029,6.967896,2
201809141453432883,5.815063,2
201809141454292257,0,2
201809141455206412,0,2
201809141456128075,0,2
201809141457263717,13.1925,2
201809171229012603,0,3
201809171230067639,6.266861,3
201809171230467281,10.67349,3
201809171231330781,4.637299,3
201809171233368192,5.554565,3
201809171234242857,3.951355,3
201809171235245666,0,3
201809171236580766,5.003601,3
201809171239107353,8.302612,2 -- [sound didn't play]
201809171239508603,0,2
201809171241197732,3.890747,2
201809171242340759,12.5105,2
201809171243570539,5.238647,2
201809171244470082,6.342041,2
201809171245402564,0,2
201809171247098567,4.10144,2
201809171249262762,4.820435,1
201809171250396247,4.766968,1
201809171251327903,5.016235,1
201809171251397044,0,1
201809171254066363,0,1
201809171255288195,5.717896,1
201809171256022622,6.657227,1
201809171257495991,2.334717,1
